patient_id,first_name,last_name,id_number,date_of_birth,gender,province,has_file,file_type
PAT0308,Nompumelelo,Mthembu,7260358002,1962-09-21,F,Free State,Yes,
PAT0309,Tshepo,Nkosi,,1962-09-11,M,Northern Cape,Yes,Physical
PAT0310,Kagiso,Khumalo,9509765637,1953-02-06,Male,Gauteng,No,Digital
PAT0311,Ayanda,Hadebe,7704914177,1995-04-06,Male,Northern Cape,Yes,Physical
PAT0312,Tshepo,Ndlovu,9535913180,1968-06-02,male,Eastern Cape,No,Digital
PAT0313,Nandi,Molefe,9165656449,1967-09-23,Female,KwaZulu-Natal,Yes,Digital
PAT0314,Kagiso,Ntuli,9822086971,1968-11-01,Female,Limpopo,No,
PAT0315,Sizwe,Hadebe,8260125164,1973-06-07,M,North West,No,
PAT0316,Lerato,Molefe,9238788941,1974-05-15,Female,Gauteng,Yes,Physical
PAT0317,Palesa,Buthelezi,9766336569,1950-12-26,Male,Mpumalanga,Yes,Physical
PAT0318,Mpho,Nkosi,7699377269,1956-05-19,M,Eastern Cape,Yes,Physical
PAT0319,Tshepo,Sithole,9581912906,1978-09-01,Female,North West,No,Digital
PAT0320,Sipho,Sithole,8374271760,1998-01-03,M,KwaZulu-Natal,Yes,Physical
PAT0321,Thabo,Buthelezi,8553878350,1993-06-26,Female,Western Cape,Yes,Physical
PAT0322,Mpho,Cele,9118927238,1960-03-08,Female,Northern Cape,Yes,Digital
PAT0323,Phiwayinkosi,Molefe,8372637031,1995-10-02,male,Mpumalanga,Yes,Physical
PAT0324,Thandeka,Mahlangu,7241729472,1995-09-03,Female,Western Cape,Yes,Physical
PAT0325,Zanele,Ndlovu,9573192887,1970-10-08,M,Northern Cape,Yes,Physical
PAT0326,Sipho,Ngubane,7288337777,1997-02-06,Male,Northern Cape,Yes,Physical
PAT0327,Luyanda,Shabalala,7572096124,1977-05-26,male,Northern Cape,Yes,Physical
PAT0328,Ayanda,Zwane,8112965777,1974-12-05,Female,Northern Cape,No,Physical
PAT0329,Nompumelelo,Zwane,7367697677,,Female,Northern Cape,Yes,Digital
PAT0330,Kagiso,Zwane,7398507376,1993-04-15,M,Gauteng,Yes,Physical
PAT0331,Lerato,Mahlangu,8480803393,1992-07-06,male,North West,No,
PAT0332,Lindiwe,Mhlongo,9244023593,1995-02-12,Female,Free State,Yes,Digital
PAT0333,Sipho,Ntuli,7919668240,1992-05-23,Male,Gauteng,No,Physical
PAT0334,Nandi,Mkhize,7234227190,1992-07-16,F,North West,Yes,Digital
PAT0335,Lindiwe,Mkhize,8743947493,1996-05-28,Male,Mpumalanga,No,Physical
PAT0336,Palesa,Cele,,1964-09-04,Female,Limpopo,Yes,Digital
PAT0337,Bongani,Buthelezi,7953582276,1960-03-15,Male,Gauteng,No,Digital
PAT0338,Mpho,Shabalala,9189041302,1953-05-13,male,Mpumalanga,No,Physical
PAT0339,Luyanda,Cele,8114189717,1971-03-02,Female,Western Cape,Yes,Physical
PAT0340,Palesa,Buthelezi,9909449150,1963-04-16,M,Mpumalanga,No,Physical
PAT0341,Phiwayinkosi,Zwane,7677621364,2002-04-14,male,Eastern Cape,Yes,Physical
PAT0342,Nompumelelo,Nkosi,9668666126,1976-12-03,Male,Western Cape,Yes,Physical
PAT0343,Thabo,Zwane,8362952646,1957-10-04,Female,Mpumalanga,No,Physical
PAT0344,Luyanda,Ndlovu,7387392531,1979-02-02,male,KwaZulu-Natal,Yes,Physical
PAT0345,Palesa,Mokoena,8181348673,1998-04-26,Male,Gauteng,Yes,Physical
PAT0346,Zanele,Mokoena,7889707882,1974-11-07,Female,Mpumalanga,Yes,Physical
PAT0347,Lerato,Khumalo,8670279152,1980-12-10,F,Northern Cape,Yes,Physical
PAT0348,Kagiso,Molefe,8414409905,1988-07-24,female,Mpumalanga,Yes,
PAT0349,Zanele,Mthembu,7011632976,1998-10-10,M,KwaZulu-Natal,No,Physical
PAT0350,Zanele,Mahlangu,7505497229,1985-04-04,Male,Free State,Yes,
PAT0351,Luyanda,Mthembu,9459865632,2003-07-22,F,Free State,Yes,Physical
PAT0352,Lerato,Ngubane,8046934596,1950-12-24,Male,KwaZulu-Natal,Yes,Physical
PAT0353,Kagiso,Molefe,8082008561,1994-10-15,female,KwaZulu-Natal,Yes,
PAT0354,Palesa,Mthembu,7822537371,1962-07-22,female,Western Cape,No,Digital
PAT0355,Phiwayinkosi,Dlamini,7261708943,2003-05-22,male,Free State,Yes,Digital
PAT0356,Ayanda,Shabalala,7813657891,1977-09-26,M,Gauteng,Yes,Physical
PAT0357,Tshepo,Mkhize,7723753472,1958-10-24,M,Limpopo,No,Digital
PAT0358,Ayanda,Zwane,8911773739,1991-08-24,Male,Eastern Cape,Yes,Physical
PAT0359,Kagiso,Hadebe,8857262761,1965-01-26,female,Gauteng,Yes,Physical
PAT0360,Nompumelelo,Cele,7758041876,1976-05-04,M,Eastern Cape,No,Digital
PAT0361,Sibusiso,Nkosi,8126824812,1999-08-19,Female,Gauteng,Yes,Digital
PAT0362,Kagiso,Mahlangu,8898292460,1985-12-07,M,Mpumalanga,No,Physical
PAT0363,Nomvula,Cele,8165222605,,Male,Limpopo,No,
PAT0364,Sipho,Cele,7724047986,1968-04-10,F,Northern Cape,No,Physical
PAT0365,Ntombi,Mkhize,9620504735,1982-07-18,F,North West,No,Digital
PAT0366,Kagiso,Molefe,8586199434,1954-01-03,M,Northern Cape,Yes,
PAT0367,Nomvula,Mahlangu,9320672063,1993-02-01,male,Free State,Yes,Digital
PAT0368,Thabo,Khumalo,9665696342,2004-05-17,female,Limpopo,Yes,Digital
PAT0369,Tshepo,Buthelezi,7164908489,1971-05-15,F,Gauteng,Yes,Physical
PAT0370,Lerato,Mokoena,8599199195,1984-12-07,Male,Eastern Cape,Yes,Physical
PAT0371,Kagiso,Shabalala,9190599837,1981-11-10,Male,Limpopo,No,Physical
PAT0372,Bongani,Ndlovu,8123223551,1958-09-25,female,Mpumalanga,Yes,Physical
PAT0373,Mpho,Ngubane,9754796560,1951-03-07,female,Gauteng,Yes,Physical
PAT0374,Luyanda,Mahlangu,7009477316,1970-02-03,female,Mpumalanga,Yes,
PAT0375,Ntombi,Sithole,8376429915,1991-06-07,F,Limpopo,Yes,Physical
PAT0376,Luyanda,Khumalo,8805495208,1990-01-11,Male,Western Cape,Yes,
PAT0377,Thabo,Sithole,9357603048,1988-08-28,female,Mpumalanga,No,Physical
PAT0378,Zanele,Molefe,8046382828,1995-03-04,F,North West,No,Physical
PAT0379,Sipho,Nkosi,7020185234,1975-06-10,female,North West,No,Physical
PAT0380,Lerato,Mthembu,7323557988,1981-07-13,Male,Free State,Yes,Physical
PAT0381,Luyanda,Cele,7474634744,1995-04-08,Male,North West,Yes,Digital
PAT0382,Nomvula,Zwane,9424541009,1986-01-04,male,Mpumalanga,No,Physical
PAT0383,Lindiwe,Buthelezi,7822817038,1952-09-08,M,KwaZulu-Natal,Yes,Physical
PAT0384,Thandeka,Cele,7053882619,1982-11-06,Female,Free State,Yes,Digital
PAT0385,Luyanda,Mkhize,7086132342,1990-07-04,Male,Free State,Yes,
PAT0386,Lerato,Ndlovu,8089733832,1962-01-28,Female,Mpumalanga,Yes,Physical
PAT0387,Ntombi,Mkhize,9478554490,1951-12-05,male,Northern Cape,Yes,
PAT0388,Lerato,Cele,7421798984,1993-11-21,M,Limpopo,Yes,Digital
PAT0389,Nomvula,Ntuli,7836251235,1957-06-08,F,Western Cape,No,
PAT0390,Palesa,Khumalo,8274102908,1999-03-22,M,North West,Yes,Digital
PAT0391,Lindiwe,Mhlongo,8397404530,1993-10-03,M,Western Cape,Yes,
PAT0392,Nomvula,Ngubane,8966143635,1971-06-02,F,North West,Yes,Physical
PAT0393,Lindiwe,Hadebe,9484216415,1972-12-02,male,KwaZulu-Natal,Yes,Physical
PAT0394,Ayanda,Mkhize,,1987-01-03,female,Northern Cape,Yes,Physical
PAT0395,Nandi,Molefe,7874899007,1983-07-20,M,Limpopo,Yes,Digital
PAT0396,Zanele,Zwane,9579037413,1957-06-12,M,Mpumalanga,No,
PAT0397,Lindiwe,Nkosi,9553675820,1985-05-13,male,Western Cape,Yes,Physical
PAT0398,Luyanda,Shabalala,7156253898,1978-09-23,female,Western Cape,Yes,Physical
PAT0399,Ntombi,Zulu,8551031077,1965-10-25,M,Mpumalanga,Yes,
PAT0400,Phiwayinkosi,Zwane,8256025227,2004-12-17,M,Limpopo,No,
PAT0401,Lerato,Khumalo,8481572065,1965-12-08,female,Limpopo,No,Physical
PAT0402,Nandi,Dlamini,8903807943,1969-03-16,Male,Free State,Yes,Physical
PAT0403,Bongani,Molefe,8431278804,1979-07-28,F,North West,Yes,Physical
PAT0404,Bongani,Mahlangu,9182355670,2000-08-22,Male,KwaZulu-Natal,Yes,Physical
PAT0405,Ntombi,Buthelezi,8497473712,1954-04-08,F,Free State,Yes,Physical
PAT0406,Thabo,Buthelezi,7678292248,1993-01-25,F,Mpumalanga,Yes,Physical
PAT0407,Bongani,Dlamini,7113475033,1979-05-20,M,Free State,Yes,Physical
PAT0408,Tshepo,Khumalo,7923645018,1955-06-18,F,Gauteng,Yes,Physical
PAT0409,Ntombi,Buthelezi,7114032970,1957-07-01,Female,Mpumalanga,Yes,Physical
PAT0410,Nandi,Nkosi,7412586765,2002-12-06,female,North West,Yes,Physical
PAT0411,Kagiso,Mthembu,9239112202,2001-02-14,female,Limpopo,Yes,
PAT0412,Bongani,Hadebe,9867646567,1985-01-23,Female,Gauteng,Yes,Digital
PAT0413,Zanele,Mhlongo,,1999-02-09,female,Western Cape,Yes,Digital
PAT0414,Sizwe,Mkhize,8320951419,1970-02-27,male,North West,No,
PAT0415,Nomvula,Khumalo,7514572120,1958-01-11,female,Mpumalanga,Yes,Physical
PAT0416,Sibusiso,Mthembu,7322551950,1952-04-23,female,Northern Cape,Yes,
PAT0417,Nandi,Buthelezi,9645816373,1975-04-18,female,KwaZulu-Natal,Yes,Digital
PAT0418,Ayanda,Shabalala,9812745612,2004-06-03,F,Gauteng,Yes,Digital
PAT0419,Mpho,Hadebe,,1971-11-15,Male,KwaZulu-Natal,No,Physical
PAT0420,Lindiwe,Molefe,8750457028,1971-12-05,male,Free State,No,Digital
PAT0421,Palesa,Hadebe,8548837371,2001-10-12,female,Gauteng,Yes,
PAT0422,Nandi,Mthethwa,9030688863,1996-01-10,male,KwaZulu-Natal,Yes,Physical
PAT0423,Nandi,Shabalala,9327054719,1987-02-13,F,Western Cape,No,
PAT0424,Thabo,Zulu,7648733371,1984-08-10,male,Eastern Cape,Yes,Physical
PAT0425,Ayanda,Zulu,8349295225,1979-06-03,male,Mpumalanga,No,Digital
PAT0426,Sizwe,Ndlovu,8476513674,1965-07-20,Female,Mpumalanga,No,Physical
PAT0427,Tshepo,Mthembu,8304313116,1963-09-15,F,North West,Yes,Physical
PAT0428,Kagiso,Zulu,7714167166,1970-03-02,female,Gauteng,Yes,Physical
PAT0429,Sipho,Shabalala,7761789554,1976-02-03,Male,KwaZulu-Natal,No,Physical
PAT0430,Kagiso,Hadebe,,1967-04-18,Male,Free State,Yes,Digital
PAT0431,Lindiwe,Cele,,1959-09-02,Male,Mpumalanga,No,
PAT0432,Nompumelelo,Ntuli,8465018790,1974-06-01,Male,Mpumalanga,Yes,Physical
PAT0433,Sizwe,Ngubane,7918521827,1985-01-14,female,Free State,Yes,Physical
PAT0434,Luyanda,Nkosi,9895514531,1965-06-14,Male,Western Cape,Yes,Physical
PAT0435,Tshepo,Mkhize,8710885451,2001-03-03,F,KwaZulu-Natal,Yes,Digital
PAT0436,Thabo,Molefe,9120524876,1990-06-25,F,Northern Cape,No,Physical
PAT0437,Zanele,Zulu,7002274177,1962-05-02,male,Mpumalanga,Yes,Physical
PAT0438,Kagiso,Khumalo,7277339795,1957-05-02,Female,North West,No,Digital
PAT0439,Bongani,Zulu,8964837024,1953-09-15,M,Mpumalanga,No,
PAT0440,Thandeka,Ndlovu,9509705146,1953-12-12,Male,Limpopo,Yes,
PAT0441,Kagiso,Ntuli,8755004368,1981-12-13,M,Eastern Cape,No,Digital
PAT0442,Nomvula,Mhlongo,8349702792,1980-04-18,M,Western Cape,Yes,Digital
PAT0443,Zanele,Dlamini,9843614476,1978-12-06,M,Gauteng,Yes,Digital
PAT0444,Phiwayinkosi,Ngubane,8328184030,1981-11-02,male,KwaZulu-Natal,Yes,Digital
PAT0445,Ntombi,Mkhize,9815014072,1972-03-19,F,Free State,Yes,Digital
PAT0446,Lindiwe,Shabalala,8002595021,1954-03-02,Male,Northern Cape,Yes,Digital
PAT0447,Tshepo,Nkosi,8686037514,1959-09-02,female,North West,No,Physical
PAT0448,Ntombi,Mokoena,8428678112,1960-02-24,male,Northern Cape,Yes,Physical
PAT0449,Phiwayinkosi,Mhlongo,7576464507,1964-09-23,F,Western Cape,Yes,
PAT0450,Nompumelelo,Mthethwa,7133258970,1968-09-03,female,Limpopo,Yes,Physical
PAT0451,Zanele,Zwane,8808612625,1970-09-28,F,Limpopo,Yes,Physical
PAT0452,Sizwe,Hadebe,9397918973,1995-03-07,Male,Free State,Yes,Physical
PAT0453,Thandeka,Mkhize,8397509070,1965-12-01,male,Eastern Cape,No,Physical
PAT0454,Ayanda,Nkosi,8262629666,1953-04-07,M,Limpopo,Yes,Physical
PAT0455,Kagiso,Mokoena,8379565971,1989-01-05,male,Free State,Yes,Physical
PAT0456,Nomvula,Khumalo,8278392205,1988-12-20,male,Eastern Cape,Yes,
PAT0457,Ntombi,Ngubane,9822016975,1978-04-04,Male,Western Cape,Yes,Physical
PAT0458,Thabo,Sithole,7943715757,1987-07-18,M,KwaZulu-Natal,No,Physical
PAT0459,Nompumelelo,Cele,7191986588,1986-04-03,M,Western Cape,Yes,Digital
PAT0460,Luyanda,Mkhize,8588691966,1956-11-28,Female,Free State,Yes,
PAT0461,Ayanda,Hadebe,7462644432,1971-07-05,Female,KwaZulu-Natal,Yes,Digital
PAT0462,Lindiwe,Ndlovu,9337204701,1971-05-23,F,Free State,Yes,
PAT0463,Ntombi,Dlamini,8560906182,1951-11-21,female,Western Cape,Yes,
PAT0464,Sipho,Zwane,9066257704,2003-06-15,Female,Mpumalanga,Yes,Physical
PAT0465,Tshepo,Mahlangu,8519792759,1970-10-23,Male,Mpumalanga,Yes,
PAT0466,Phiwayinkosi,Mthembu,9572653482,1988-05-01,male,Western Cape,No,Physical
PAT0467,Tshepo,Cele,9866871951,1962-05-26,M,Northern Cape,Yes,Physical
PAT0468,Zanele,Ngubane,7936023079,1999-05-21,male,Northern Cape,Yes,
PAT0469,Palesa,Dlamini,7597775524,1967-05-13,Male,Limpopo,No,Physical
PAT0470,Nompumelelo,Ngubane,8736339477,1981-04-17,male,Limpopo,Yes,
PAT0471,Palesa,Shabalala,7729488186,1984-01-28,M,KwaZulu-Natal,Yes,Physical
PAT0472,Ntombi,Molefe,8496221768,1960-05-20,Female,KwaZulu-Natal,Yes,Digital
PAT0473,Tshepo,Mahlangu,7641786490,,female,Mpumalanga,No,
PAT0474,Sizwe,Ndlovu,8794757645,1953-02-20,M,Northern Cape,No,Physical
PAT0475,Palesa,Mkhize,7381016797,1997-12-18,M,Eastern Cape,Yes,Digital
PAT0476,Luyanda,Ndlovu,8863414335,1989-03-09,M,Western Cape,Yes,Physical
PAT0477,Lerato,Sithole,9745879038,1978-04-06,F,Eastern Cape,Yes,Physical
PAT0478,Ayanda,Hadebe,7787245873,1991-05-10,F,KwaZulu-Natal,Yes,Physical
PAT0479,Ntombi,Cele,8837761054,1962-01-09,M,Eastern Cape,No,Physical
PAT0480,Sizwe,Mhlongo,8060484462,1966-08-09,Male,Free State,No,Digital
PAT0481,Bongani,Khumalo,8096761832,1990-01-02,M,Gauteng,Yes,Physical
PAT0482,Phiwayinkosi,Shabalala,9077076954,1997-01-10,F,Mpumalanga,No,Physical
PAT0483,Thandeka,Hadebe,7763199519,1999-10-28,F,Northern Cape,Yes,Physical
PAT0484,Palesa,Hadebe,8626534310,1989-05-28,male,Mpumalanga,Yes,Digital
PAT0485,Sizwe,Mahlangu,7400878776,1960-07-02,Male,Free State,Yes,Physical
PAT0486,Luyanda,Mkhize,8014598970,1957-11-22,Female,Northern Cape,Yes,Physical
PAT0487,Thabo,Ngubane,7350126207,1957-01-15,male,KwaZulu-Natal,No,Physical
PAT0488,Palesa,Sithole,9062123538,1966-12-23,F,Western Cape,Yes,
PAT0489,Palesa,Ntuli,7122765547,1973-03-05,male,Western Cape,Yes,Physical
PAT0490,Ayanda,Mokoena,8214016005,1981-12-01,male,Limpopo,Yes,
PAT0491,Ntombi,Zwane,9445471822,1972-05-08,male,North West,Yes,Digital
PAT0492,Thandeka,Mhlongo,7471587150,1962-08-25,Male,Free State,Yes,Physical
PAT0493,Phiwayinkosi,Sithole,9666709966,,Female,Northern Cape,No,
PAT0494,Tshepo,Molefe,9782773198,1994-03-24,Female,North West,Yes,Physical
PAT0495,Mpho,Khumalo,8845674695,1984-08-17,M,North West,Yes,Physical
PAT0496,Mpho,Shabalala,8673932308,1954-04-21,F,Western Cape,Yes,Physical
PAT0497,Mpho,Zulu,8625925177,1989-10-14,female,KwaZulu-Natal,Yes,Physical
PAT0498,Ayanda,Mhlongo,9610117852,1985-11-20,Male,Mpumalanga,Yes,
PAT0499,Nompumelelo,Khumalo,7880564594,1964-03-07,Female,Western Cape,No,Physical
PAT0500,Sibusiso,Dlamini,8032462409,2000-12-19,F,Free State,Yes,
PAT0091,Ayanda,Ntuli,9131913200,1974-01-21,Male,Mpumalanga,Yes,Physical
PAT0193,Tshepo,Shabalala,7830878723,2002-02-24,F,Northern Cape,No,
PAT0340,Palesa,Buthelezi,9909449150,1963-04-16,M,Mpumalanga,No,Physical
PAT0190,Nandi,Mhlongo,7041016052,1969-04-09,Male,Northern Cape,Yes,Physical
PAT0176,Kagiso,Molefe,7788827617,1950-10-28,F,KwaZulu-Natal,No,Physical
